[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-3] t=51s target=15k/s gen=198,750 (3750/s) emit=198,750 (3750/s) drop=0 (0.0%) q=0
[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-3] t=61s target=15k/s gen=213,000 (1425/s) emit=213,000 (1425/s) drop=0 (0.0%) q=0
[Source-3] t=10s target=15k/s gen=48,750 (4875/s) emit=48,750 (4875/s) drop=0 (0.0%) q=0
[Source-3] t=20s target=15k/s gen=86,250 (3750/s) emit=86,250 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=30s target=15k/s gen=123,750 (3750/s) emit=123,750 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=40s target=15k/s gen=161,250 (3750/s) emit=161,250 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=50s target=15k/s gen=198,750 (3750/s) emit=198,750 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=60s target=15k/s gen=236,325 (3758/s) emit=236,325 (3758/s) drop=0 (0.0%) q=0
[Source-3] t=70s target=15k/s gen=273,825 (3750/s) emit=273,825 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=80s target=15k/s gen=311,325 (3750/s) emit=311,325 (3750/s) drop=0 (0.0%) q=0
