[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4] t=10s target=15k/s gen=48,825 (4882/s) emit=48,825 (4882/s) drop=0 (0.0%) q=0
[Source-1] t=20s target=15k/s gen=86,325 (3750/s) emit=86,325 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=20s target=15k/s gen=86,325 (3750/s) emit=86,325 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=29s target=15k/s gen=123,825 (4055/s) emit=123,825 (4055/s) drop=0 (0.0%) q=0
[Source-4] t=29s target=15k/s gen=123,825 (4055/s) emit=123,825 (4055/s) drop=0 (0.0%) q=0
[Source-1] t=39s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=39s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-1/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-4/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-1] t=49s target=15k/s gen=189,675 (2835/s) emit=189,675 (2835/s) drop=0 (0.0%) q=0
[Source-4] t=49s target=15k/s gen=189,525 (2820/s) emit=189,525 (2820/s) drop=0 (0.0%) q=0
[Source-1] t=10s target=15k/s gen=48,750 (4875/s) emit=48,750 (4875/s) drop=0 (0.0%) q=0
[Source-4] t=10s target=15k/s gen=48,825 (4883/s) emit=48,825 (4883/s) drop=0 (0.0%) q=0
[Source-1] t=19s target=15k/s gen=86,325 (4044/s) emit=86,325 (4044/s) drop=0 (0.0%) q=0
[Source-4] t=19s target=15k/s gen=86,325 (4035/s) emit=86,325 (4035/s) drop=0 (0.0%) q=0
[Source-1] t=29s target=15k/s gen=123,825 (3750/s) emit=123,825 (3750/s) drop=0 (0.0%) q=0
[Source-4] t=29s target=15k/s gen=123,825 (3750/s) emit=123,825 (3750/s) drop=0 (0.0%) q=0
[Source-1] t=39s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
